,subject,predicate,object
171,Mohamed Salah,total goals in continental competition in season 2015–16 ,1
223,Mohamed Salah,total goals in season 2021–22 ,30
230,Mohamed Salah,total matches in continental competition in season 2021–22 ,12
137,Mohamed Salah,total goals in national cup in season 2013–14 ,0
29,Mohamed Salah,total goals in continental competition with Basel club ,7
187,Mohamed Salah,total goals in national cup in season 2017–18 ,1
126,Mohamed Salah,total matches in national c in season 2013–14 ,1
57,Mohamed Salah,total goals in league cup with Liverpool club ,0
184,Mohamed Salah,total matches in league in season 2017–18 ,36
19,Mohamed Salah,total goals in continental competition with Al Mokawloon Al Arab club ,0
208,Mohamed Salah,total matches in league cup in season 2019–20 ,0
70,Mohamed Salah,play season 2017–18 for,Liverpool
134,Mohamed Salah,total matches in league in season 2013–14 ,10
140,Mohamed Salah,total matches in continental competition in season 2013–14 ,0
117,Mohamed Salah,total goals in national cup in season 2012–13 ,3
13,Mohamed Salah,total goals in league with Al Mokawloon Al Arab club ,11
170,Mohamed Salah,total matches in continental competition in season 2015–16 ,7
61,Mohamed Salah,play season 2010–11 for,Al Mokawloon Al Arab
22,Mohamed Salah,total matches in league with Basel club,47
156,Mohamed Salah,total matches in national c in season 2014–15 ,2
151,Mohamed Salah,total goals in continental competition in season 2014–15 ,0
4,Mohamed Salah,total matchs in league cup,5
194,Mohamed Salah,total matches in league in season 2018–19 ,38
36,Mohamed Salah,total matches in league cup with Chelsea club ,2
129,Mohamed Salah,total goals in league cup in season 2013–14 ,—
107,Mohamed Salah,total goals in national cup in season 2011–12 ,0
148,Mohamed Salah,total matches in league cup in season 2014–15 ,2
165,Mohamed Salah,total goals in league in season 2015–16 ,14
133,Mohamed Salah,total goals in season 2013–14 ,2
111,Mohamed Salah,total goals in continental competition in season 2011–12 ,—
60,Mohamed Salah,play season 2009–10 for,Al Mokawloon Al Arab
32,Mohamed Salah,total matches in league with Chelsea club,13
143,Mohamed Salah,total goals in season 2014–15 ,0
202,Mohamed Salah,total matches in season 2019–20 ,48
83,Mohamed Salah,total goals in season 2009–10 ,0
104,Mohamed Salah,total matches in league in season 2011–12 ,15
20,Mohamed Salah,total matches with Basel club,79
197,Mohamed Salah,total goals in national cup in season 2018–19 ,0
203,Mohamed Salah,total goals in season 2019–20 ,23
160,Mohamed Salah,total matches in continental competition in season 2014–15 ,8
168,Mohamed Salah,total matches in league cup in season 2015–16 ,—
196,Mohamed Salah,total matches in national c in season 2018–19 ,1
110,Mohamed Salah,total matches in continental competition in season 2011–12 ,—
219,Mohamed Salah,total goals in league cup in season 2020–21 ,0
144,Mohamed Salah,total matches in league in season 2014–15 ,3
67,Mohamed Salah,play season 2014–15 for,Fiorentina loan
79,Roma loan,part of,Serie A
141,Mohamed Salah,total goals in continental competition in season 2013–14 ,0
31,Mohamed Salah,total goals with Chelsea club ,2
21,Mohamed Salah,total goals with Basel club ,20
176,Mohamed Salah,total matches in national c in season 2016–17 ,2
125,Mohamed Salah,total goals in league in season 2013–14 ,4
75,Al Mokawloon Al Arab,part of,Egyptian Premier League
54,Mohamed Salah,total matches in national cup with Liverpool club ,7
178,Mohamed Salah,total matches in league cup in season 2016–17 ,—
190,Mohamed Salah,total matches in continental competition in season 2017–18 ,15
30,Mohamed Salah,total matches with Chelsea club,19
2,Mohamed Salah,total matchs in national cup,26
65,Mohamed Salah,play season 2013–14 for,Chelsea
47,Mohamed Salah,total goals in league cup with Roma club ,—
17,Mohamed Salah,total goals in league cup with Al Mokawloon Al Arab club ,0
66,Mohamed Salah,play season 2014–15 for,Chelsea
155,Mohamed Salah,total goals in league in season 2014–15 ,6
198,Mohamed Salah,total matches in league cup in season 2018–19 ,1
11,Mohamed Salah,total goals with Al Mokawloon Al Arab club ,12
215,Mohamed Salah,total goals in league in season 2020–21 ,22
189,Mohamed Salah,total goals in league cup in season 2017–18 ,0
90,Mohamed Salah,total matches in continental competition in season 2009–10 ,—
220,Mohamed Salah,total matches in continental competition in season 2020–21 ,10
139,Mohamed Salah,total goals in league cup in season 2013–14 ,0
94,Mohamed Salah,total matches in league in season 2010–11 ,20
183,Mohamed Salah,total goals in season 2017–18 ,44
24,Mohamed Salah,total matches in national cup with Basel club ,6
175,Mohamed Salah,total goals in league in season 2016–17 ,15
41,Mohamed Salah,total goals with Roma club ,34
105,Mohamed Salah,total goals in league in season 2011–12 ,7
100,Mohamed Salah,total matches in continental competition in season 2010–11 ,—
25,Mohamed Salah,total goals in national cup with Basel club ,4
228,Mohamed Salah,total matches in league cup in season 2021–22 ,1
108,Mohamed Salah,total matches in league cup in season 2011–12 ,—
205,Mohamed Salah,total goals in league in season 2019–20 ,19
1,Mohamed Salah,total goals in leagues,174
27,Mohamed Salah,total goals in league cup with Basel club ,0
128,Mohamed Salah,total matches in league cup in season 2013–14 ,—
162,Mohamed Salah,total matches in season 2015–16 ,42
185,Mohamed Salah,total goals in league in season 2017–18 ,32
161,Mohamed Salah,total goals in continental competition in season 2014–15 ,1
146,Mohamed Salah,total matches in national c in season 2014–15 ,1
96,Mohamed Salah,total matches in national c in season 2010–11 ,4
116,Mohamed Salah,total matches in national c in season 2012–13 ,5
169,Mohamed Salah,total goals in league cup in season 2015–16 ,—
0,Mohamed Salah,total matchs in leagues,356
186,Mohamed Salah,total matches in national c in season 2017–18 ,1
200,Mohamed Salah,total matches in continental competition in season 2018–19 ,12
136,Mohamed Salah,total matches in national c in season 2013–14 ,1
123,Mohamed Salah,total goals in season 2013–14 ,10
72,Mohamed Salah,play season 2019–20 for,Liverpool
213,Mohamed Salah,total goals in season 2020–21 ,31
55,Mohamed Salah,total goals in national cup with Liverpool club ,4
44,Mohamed Salah,total matches in national cup with Roma club ,3
82,Mohamed Salah,total matches in season 2009–10 ,5
172,Mohamed Salah,total matches in season 2016–17 ,41
92,Mohamed Salah,total matches in season 2010–11 ,24
114,Mohamed Salah,total matches in league in season 2012–13 ,29
7,Mohamed Salah,total goals in continental league,45
86,Mohamed Salah,total matches in national c in season 2009–10 ,2
214,Mohamed Salah,total matches in league in season 2020–21 ,37
87,Mohamed Salah,total goals in national cup in season 2009–10 ,0
206,Mohamed Salah,total matches in national c in season 2019–20 ,2
131,Mohamed Salah,total goals in continental competition in season 2013–14 ,5
166,Mohamed Salah,total matches in national c in season 2015–16 ,1
62,Mohamed Salah,play season 2011–12 for,Al Mokawloon Al Arab
23,Mohamed Salah,total goals in league with Basel club ,9
63,Mohamed Salah,play season 2012–13 for,Basel
15,Mohamed Salah,total goals in national cup with Al Mokawloon Al Arab club ,1
14,Mohamed Salah,total matches in national cup with Al Mokawloon Al Arab club ,6
64,Mohamed Salah,play season 2013–14 for,Basel
218,Mohamed Salah,total matches in league cup in season 2020–21 ,1
78,Fiorentina loan,part of,Serie A
177,Mohamed Salah,total goals in national cup in season 2016–17 ,2
74,Mohamed Salah,play season 2021–22 for,Liverpool
49,Mohamed Salah,total goals in continental competition with Roma club ,3
121,Mohamed Salah,total goals in continental competition in season 2012–13 ,2
50,Mohamed Salah,total matches with Liverpool club,249
91,Mohamed Salah,total goals in continental competition in season 2009–10 ,—
102,Mohamed Salah,total matches in season 2011–12 ,15
59,Mohamed Salah,total goals in continental competition with Liverpool club ,34
191,Mohamed Salah,total goals in continental competition in season 2017–18 ,11
76,Basel,part of,Swiss Super League
225,Mohamed Salah,total goals in league in season 2021–22 ,22
179,Mohamed Salah,total goals in league cup in season 2016–17 ,—
226,Mohamed Salah,total matches in national c in season 2021–22 ,1
138,Mohamed Salah,total matches in league cup in season 2013–14 ,0
81,Liverpool,part of,Premier League
109,Mohamed Salah,total goals in league cup in season 2011–12 ,—
9,Mohamed Salah,total goals,232
58,Mohamed Salah,total matches in continental competition with Liverpool club ,57
163,Mohamed Salah,total goals in season 2015–16 ,15
154,Mohamed Salah,total matches in league in season 2014–15 ,16
88,Mohamed Salah,total matches in league cup in season 2009–10 ,—
210,Mohamed Salah,total matches in continental competition in season 2019–20 ,8
12,Mohamed Salah,total matches in league with Al Mokawloon Al Arab club,38
106,Mohamed Salah,total matches in national c in season 2011–12 ,0
153,Mohamed Salah,total goals in season 2014–15 ,9
80,Roma,part of,Serie A
118,Mohamed Salah,total matches in league cup in season 2012–13 ,—
231,Mohamed Salah,total goals in continental competition in season 2021–22 ,8
157,Mohamed Salah,total goals in national cup in season 2014–15 ,2
193,Mohamed Salah,total goals in season 2018–19 ,27
115,Mohamed Salah,total goals in league in season 2012–13 ,5
37,Mohamed Salah,total goals in league cup with Chelsea club ,0
98,Mohamed Salah,total matches in league cup in season 2010–11 ,—
46,Mohamed Salah,total matches in league cup with Roma club ,—
142,Mohamed Salah,total matches in season 2014–15 ,8
135,Mohamed Salah,total goals in league in season 2013–14 ,2
120,Mohamed Salah,total matches in continental competition in season 2012–13 ,16
222,Mohamed Salah,total matches in season 2021–22 ,46
42,Mohamed Salah,total matches in league with Roma club,65
112,Mohamed Salah,total matches in season 2012–13 ,50
227,Mohamed Salah,total goals in national cup in season 2021–22 ,0
35,Mohamed Salah,total goals in national cup with Chelsea club ,0
51,Mohamed Salah,total goals with Liverpool club ,155
221,Mohamed Salah,total goals in continental competition in season 2020–21 ,6
224,Mohamed Salah,total matches in league in season 2021–22 ,32
8,Mohamed Salah,total matches,500
192,Mohamed Salah,total matches in season 2018–19 ,52
150,Mohamed Salah,total matches in continental competition in season 2014–15 ,2
164,Mohamed Salah,total matches in league in season 2015–16 ,34
103,Mohamed Salah,total goals in season 2011–12 ,7
5,Mohamed Salah,total goals in league cup,0
195,Mohamed Salah,total goals in league in season 2018–19 ,22
52,Mohamed Salah,total matches in league with Liverpool club,177
209,Mohamed Salah,total goals in league cup in season 2019–20 ,0
99,Mohamed Salah,total goals in league cup in season 2010–11 ,—
152,Mohamed Salah,total matches in season 2014–15 ,26
211,Mohamed Salah,total goals in continental competition in season 2019–20 ,4
229,Mohamed Salah,total goals in league cup in season 2021–22 ,0
124,Mohamed Salah,total matches in league in season 2013–14 ,18
68,Mohamed Salah,play season 2015–16 for,Roma loan
119,Mohamed Salah,total goals in league cup in season 2012–13 ,—
18,Mohamed Salah,total matches in continental competition with Al Mokawloon Al Arab club ,0
71,Mohamed Salah,play season 2018–19 for,Liverpool
199,Mohamed Salah,total goals in league cup in season 2018–19 ,0
132,Mohamed Salah,total matches in season 2013–14 ,11
43,Mohamed Salah,total goals in league with Roma club ,29
85,Mohamed Salah,total goals in league in season 2009–10 ,0
16,Mohamed Salah,total matches in league cup with Al Mokawloon Al Arab club ,0
204,Mohamed Salah,total matches in league in season 2019–20 ,34
97,Mohamed Salah,total goals in national cup in season 2010–11 ,1
69,Mohamed Salah,play season 2016–17 for,Roma
10,Mohamed Salah,total matches with Al Mokawloon Al Arab club,44
95,Mohamed Salah,total goals in league in season 2010–11 ,4
53,Mohamed Salah,total goals in league with Liverpool club ,117
101,Mohamed Salah,total goals in continental competition in season 2010–11 ,—
39,Mohamed Salah,total goals in continental competition with Chelsea club ,0
93,Mohamed Salah,total goals in season 2010–11 ,5
217,Mohamed Salah,total goals in national cup in season 2020–21 ,3
174,Mohamed Salah,total matches in league in season 2016–17 ,31
38,Mohamed Salah,total matches in continental competition with Chelsea club ,2
34,Mohamed Salah,total matches in national cup with Chelsea club ,2
147,Mohamed Salah,total goals in national cup in season 2014–15 ,0
158,Mohamed Salah,total matches in league cup in season 2014–15 ,—
89,Mohamed Salah,total goals in league cup in season 2009–10 ,—
45,Mohamed Salah,total goals in national cup with Roma club ,2
188,Mohamed Salah,total matches in league cup in season 2017–18 ,0
113,Mohamed Salah,total goals in season 2012–13 ,10
3,Mohamed Salah,total goals in national cup,13
28,Mohamed Salah,total matches in continental competition with Basel club ,26
181,Mohamed Salah,total goals in continental competition in season 2016–17 ,2
73,Mohamed Salah,play season 2020–21 for,Liverpool
145,Mohamed Salah,total goals in league in season 2014–15 ,0
180,Mohamed Salah,total matches in continental competition in season 2016–17 ,8
77,Chelsea,part of,Premier League
130,Mohamed Salah,total matches in continental competition in season 2013–14 ,10
84,Mohamed Salah,total matches in league in season 2009–10 ,3
122,Mohamed Salah,total matches in season 2013–14 ,29
182,Mohamed Salah,total matches in season 2017–18 ,52
207,Mohamed Salah,total goals in national cup in season 2019–20 ,0
6,Mohamed Salah,total matchs in continental league,108
33,Mohamed Salah,total goals in league with Chelsea club ,2
212,Mohamed Salah,total matches in season 2020–21 ,51
159,Mohamed Salah,total goals in league cup in season 2014–15 ,—
56,Mohamed Salah,total matches in league cup with Liverpool club ,3
201,Mohamed Salah,total goals in continental competition in season 2018–19 ,5
167,Mohamed Salah,total goals in national cup in season 2015–16 ,0
149,Mohamed Salah,total goals in league cup in season 2014–15 ,0
127,Mohamed Salah,total goals in national cup in season 2013–14 ,1
216,Mohamed Salah,total matches in national c in season 2020–21 ,2
40,Mohamed Salah,total matches with Roma club,83
48,Mohamed Salah,total matches in continental competition with Roma club ,15
26,Mohamed Salah,total matches in league cup with Basel club ,0
173,Mohamed Salah,total goals in season 2016–17 ,19
